Varietal,C13,C,N,C.N,mean_stom,stom_den,SPI,april_A,april_gs,aprilWUE,june_A,june_gs,juneWUE,august_A,august_gs,augustWUE,RMIbb,RMIflow,RMIver,RMImat
Sauvignon_blanc,-29.2,1.9,40.7,21.9,16.3859,139.2743839,3.745678325,15.68333333,0.189666667,82.72157593,15.05,0.217666667,70.99504174,19.575,0.396916667,51.26440779
Schiopettino,-29.8,1.8,42.7,23.2,15.5349,143.0049478,3.432044927,,,,,,,,,
Syrah,-28.55,2.2,43.15,20.1,13.3145,190.6732637,3.435812788,10.43333333,0.144833334,72.21863243,11.82,0.253666667,53.22621565,15.075,0.25455,89.13322977
Szagos_feher,-29.1,1.7,41.8,24.1,13.9455,192.7457992,3.774480683,15.46666667,0.239666667,68.54451937,14.71666667,0.255583333,58.24616784,18.65833333,0.394666667,47.91243076
Tempranillo,-30.8,2.3,40.7,18,18.2583,155.8546677,5.191144272,,,,,,,,,
Tocai_Friulano,-28.2,2,42.2,21.6,14.86815,185.2846715,4.30239444,,,,,,,,,
Ungni_blanc/Trebbiano,-29.1,2.5,39.6,15.9,18.7864,110.2588873,3.891167139,9.04,0.113866667,82.53420121,13.58333334,0.175833333,78.34171464,16.825,0.226833333,75.71398998
Valdepenas,-30.4,1.8,42,23.3,16.2867,169.1188948,4.5468385,11.85555556,0.155888889,76.06549539,13.49166667,0.217083334,71.36169342,17.73333334,0.385666667,47.99023923
Verdelho,-30.15,2,41.55,20.75,20.6099,159.9997387,6.800835942,,,,15.28333333,0.255083334,61.09436998,17.38333334,0.36075,51.33915604
Viognier,-27.8,1.7,40.9,24.2,15.59585,149.2225542,3.68904697,,,,,,,,,
Zinfandel/Primitivo,-29.3,1.8,41.6,22.6,16.24185,191.5022779,5.07684531,,,,13.25833334,0.183416667,72.99589794,14.65833333,0.299916667,53.0718551
