Variety_name,Individual,C13,C,N,C:N,stom_length_1.1,stom_length_1.2,stom_length_1.3,stom_length_1.4,stom_length_1.5,image_area_1,stom_number_1,stom_length_2.1,stom_length_2.2,stom_length_2.3,stom_length_2.4,stom_length_2.5,image_area_2,stom_number_2
Mal,25.6,-29.1,1.6,38.2,23.5,12.123,13.313,12.098,12.892,11.85,0.603125985,90,10.643,13.026,12.033,15.007,8.235,0.603125985,77
Marsanne,18.7,-30.3,1.5,40.8,27.3,12.588,13.52,16.32,15.227,14.102,0.603125985,121,16.592,11.771,10.049,17.121,11.501,0.603125985,123
Marsanne,18.8,,,,,13.927,15.652,16.947,14.195,15.135,0.603125985,101,15.067,12.649,16.307,11.853,13.725,0.603125985,127
Merlot,15.3,-29.2,2.1,42.6,20.2,14.844,13.709,18.659,20.387,11.346,0.603125985,103,17.281,11.681,17.64,15.65,17.64,0.603125985,87
Merlot,15.4,-29.5,1.7,35.1,20.1,20.089,21.405,18.773,15.393,17.077,0.603125985,71,16.775,17.194,17.419,18.856,19.173,0.603125985,69
Morrestal,34.5,-28.5,2,44.7,22.1,22.921,18.496,19.941,20.358,14.893,0.603125985,126,22.421,17.075,19.034,20.171,14.149,0.603125985,135
Morrestal,34.6,,,,,,,,,,,,,,,,,,
Mus,15.5,,,,,,,,,,,,,,,,,,
Mus,15.6,-28.7,1.9,43.4,23,21.205,12.571,16.455,15.519,15.596,0.603125985,88,23.6,14.53,27.839,19.694,16.333,0.603125985,80
Nebbiolo,25.9,-28.6,1.4,42.9,31.3,9.683,13.939,13.958,15.537,12.377,0.603125985,76,,,,,,,
Nebbiolo,25.1,,,,,16.591,17.816,15.866,10.516,18.158,0.603125985,95,18.891,20.548,19.092,21.064,11.676,0.603125985,91
Pal,34.7,-28.5,1.6,42,26.8,23.777,19.058,17.138,16.813,19.898,0.603125985,89,21.523,21.551,19.626,24.706,17.649,0.603125985,116
Pal,34.8,,,,,,,,,,,,,,,,,,
Pinot_gris,13.3,-28.5,1.9,42,22.2,19.173,19.229,15.681,17.687,16.431,0.603125985,115,21.295,21.463,13.82,21.463,16.76,0.603125985,106
Pinot_gris,13.4,,,,,,,,,,,,,,,,,,
Pinot_Muenier,13.5,,,,,,,,,,,,,,,,,,
Pinot_Muenier,13.6,,,,,,,,,,,,,,,,,,
Pinot_noir,13.7,,,,,,,,,,,,,,,,,,
Pinot_noir,13.8,-28.3,1.9,40.7,21.9,15.471,23.659,17.353,13.355,19.936,0.603125985,101,21.911,14.465,14.453,22.249,14.945,0.603125985,94
Pinotage,32.7,,,,,12.568,15.081,14.012,14.471,15.665,0.603125985,109,13.715,16.263,13.495,17.866,12.703,0.603125985,109
