variety,event,doy.2015
Schiopettino,ver,204.9149278
Suavis,bb,67.77156968
Suavis,brix22,223.46876
Suavis,flo,113.8967351
Suavis,ver,194.6867861
Syrah,bb,69.80122523
Syrah,brix22,226.5129613
Syrah,flo,126.0183727
Syrah,ver,192.7604444
Szagos feher,bb,69.10586894
Szagos feher,brix22,238.4743082
Szagos feher,flo,127.3605918
Szagos feher,ver,196.0146813
Tannat,bb,67.18716366
Tannat,brix22,217.8592333
Tannat,flo,117.4091685
Tannat,ver,197.6545594
Tempranillo,bb,70.06355032
Tempranillo,brix22,207.3178939
Tempranillo,flo,123.5
Tempranillo,ver,187.8940471
Thompson Seedless,bb,69.31232729
Thompson Seedless,brix22,219.6452993
Thompson Seedless,flo,127.4436144
Thompson Seedless,ver,216.0162262
Tinta Amarella,bb,69.62199324
Tinta Amarella,brix22,229.4754581
Tinta Amarella,flo,117.584374
Tinta Amarella,ver,194.5353433
Tinta Cao,bb,67.22991505
Tinta Cao,brix22,239.4203504
Tinta Cao,flo,112.4889169
Tinta Cao,ver,204.1538996
Tinta Carvalha,bb,72.49570769
Tinta Carvalha,brix22,236.1326385
Tinta Carvalha,flo,121.5843866
Tinta Carvalha,ver,196.7823395
Tinta Francisca,bb,73.17731515
Tinta Francisca,brix22,228.6508681
Tinta Francisca,flo,128.4892864
Tinta Francisca,ver,209.692061
Tinta Madeira,bb,67.68749259
Tinta Madeira,brix22,213.8500226
Tinta Madeira,flo,115.9946978
Tinta Madeira,ver,187.1928215
Tocai Friulano,bb,71.18622509
Tocai Friulano,brix22,231.9344265
Tocai Friulano,flo,125
Tocai Friulano,ver,214.319436
Trebbiano toscano,bb,78.91369787
Trebbiano toscano,brix22,225.4896376
Trebbiano toscano,flo,131.4545455
Trebbiano toscano,ver,210.8378671
Verdello,bb,69.61403894
Verdello,brix22,218.0870034
Verdello,flo,117.5969447
Verdello,ver,193.2599676
Vespolina,bb,67.45755237
Vespolina,brix22,230.2004212
Vespolina,flo,116.143928
Vespolina,ver,203.626589
Zinfandel/Primitivo,bb,69.72897635
Zinfandel/Primitivo,brix22,240.3324512
Zinfandel/Primitivo,flo,120.7020142
Zinfandel/Primitivo,ver,195.7023307
