VARIETY,ROW,PLANT,year,month,day,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,L1stom_length_1,L1stom_length_2,L1stom_length_3,L1stom_length_4,L1stom_length_5,L1image_area,L1stom_number,L2stom_length_1,L2stom_length_2,L2stom_length_3,L2stom_length_4,L2stom_length_5,L2image_area,L2stom_number
Pinot_meunier,13,5,2015,8,4,12,5,,,,,14.087,20.601,15.178,12.758,13.073,573389.179,92,18.622,17.557,20.808,17.202,13.532,573389.179,93
Pinot_meunier,13,5,2015,8,6,8.5,6,,,,,19.281,19.925,21.956,21.279,26.117,584388.192,123,,,,,,,
Pinot_meunier,13,6,2015,6,16,9.3,5.9,,,1328,992,,,,,,,,,,,,,,
Pinot_meunier,13,6,2015,6,17,9,5.2,,,809,604,,,,,,,,,,,,,,
Pinot_meunier,13,6,2015,8,5,9.5,7.4,,,,,23.086,21.914,22.65,23.086,26.118,584388.192,95,19.345,21.898,19.168,23.464,19.28,584388.192,58
Pinot_meunier,13,6,2015,8,7,8,6.25,,,,,27.354,18.531,24.071,17.598,23.232,584388.192,143,,,,,,,
Pinot_noir,13,7,2015,4,16,12,6.5,,,579,,,,,,,,,,,,,,,
Pinot_noir,13,7,2015,4,20,,,19.417,,731,,,,,,,,,,,,,,,
Pinot_noir,13,7,2015,6,15,7.1,3.4,,,992,683,18.177,20.357,17.663,15.08,16.859,585630.249,116,,,,,,,
Pinot_noir,13,7,2015,6,16,8.3,5.2,,,1205,534,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,4,19,8.5,3.4,,,,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,4,21,7.5,4.5,16.24,,575,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,4,22,,4.2,,,,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,4,23,7.4,4.5,18.78,,738,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,4,24,0.23,5.4,15.681,,586,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,6,17,9,5,,,1753,508,16.407,20.911,22.637,17.855,23.451,585630.249,50,,,,,,,
Pinot_noir,13,8,2015,6,19,6,5,,,755,602,21.736,22.959,18.198,18.231,22.361,585630.249,95,,,,,,,
Pinot_noir,13,8,2015,8,4,8.5,6.3,,,,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,8,5,8.7,9.8,,,,,21.177,22.954,23.282,21.027,20.259,584388.192,119,19.154,17.784,18.55,17.253,24.305,584388.192,59
Pinot_noir,13,8,2015,8,6,8.5,6.2,,,,,,,,,,,,,,,,,,
Pinot_noir,13,8,2015,8,7,6.2,3.9,,,,,,,,,,,,,,,,,,
Cabernet_franc,13,9,2015,4,16,10,7,,,666,,,,,,,,,,,,,,,
Cabernet_franc,13,9,2015,4,19,6.8,4.4,,,,,,,,,,,,,,,,,,
Cabernet_franc,13,9,2015,4,20,,,19.365,,534,,,,,,,,,,,,,,,
Cabernet_franc,13,9,2015,4,21,5.8,5.4,21.798,,867,,,,,,,,,,,,,,,
