VARIETY,ROW,PLANT,ID,DATE,LOG,A,g,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,Leaf_weight3_mg,
,13,8,,19_June_2015,,,,6,5,,,755,602,,
,13,9,,19_June_2015,,,,8,4.55,,,1631,618,,
,14,1,,19_June_2015,,,,7.2,6,,,643,541,,
,14,3,,19_June_2015,,,,7.4,5.7,,,554,611,,
,15,3,,19_June_2015,,,,9.05,6.2,,,1255,632,,
,16,1,,19_June_2015,,,,7.4,4.95,,,904,1078,,
,17,2,,19_June_2015,,,,6.5,4.8,,,665,580,,
,17,9,,19_June_2015,,,,7.8,5.9,,,1003,736,,
,18,5,,19_June_2015,,,,8.25,5.6,,,620,419,,
,18,7,,19_June_2015,,,,9.25,6.75,,,1048,432,,
,19,9,,19_June_2015,,,,9,8.9,,,1137,486,,
,20,2,,19_June_2015,,,,5.55,4.8,,,941,897,,
,20,5,,19_June_2015,,,,7.1,4.4,,,446,361,,
,22,7,,19_June_2015,,,,6.8,5.2,,,773,814,,
,23,7,,19_June_2015,,,,6.5,5.5,,,1635,720,,
,24,1,,19_June_2015,,,,6.2,4.6,,,555,534,,
,24,9,,19_June_2015,,,,6.3,4.05,,,721,777,,
,25,9,,19_June_2015,,,,5.4,4.6,,,599,805,,
,26,5,,19_June_2015,,,,6.65,4.9,,,643,469,,
,32,3,,19_June_2015,,,,6.5,3.9,,,1220,492,,
,34,5,,19_June_2015,,,,6.4,4.6,,,991,1057,,
,34,7,,19_June_2015,,,,7.4,4.95,,,1003,1076,,
,38,7,,19_June_2015,,,,5.85,4.05,,,972,403,,
,42,7,,19_June_2015,,,,8.1,5.6,,,967,344,,
,44,1,,19_June_2015,,,,5.9,3.8,,,557,812,,
,13,9,,stray leaf,,,,,,,,568,,,
