VARIETY,ROW,PLANT,ID,DATE,LOG,A,g,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg
UngniBlanc_Trebbiano,17,2,,24_April_2015,2,9.37,0.093,6.5,4.9,27.203,,762,
,17,2,extra_leaves,,,,,,,,,,
Alicante_bouschet,17,3,12,17_April_2015,3,13.6,0.241,8.25,5.75,,,520,
Alicante_bouschet,17,4,,,,,,,,,,,
Carignane,17,9,13,17_April_2015,4,11.4,0.157,9.1,6.9,,,843,
Carignane,17,9,,19_April_2015,9,11.8,0.219,8,4.9,,,,
Carignane,17,9,,20_April_2015,,,,,,30.518,,887,
Carignane,17,9,,21_April_2015,5,10.7,0.115,8.5,7.8,27.591,,1014,
Carignane,17,9,,24_April_2015,6,14.2,0.136,9.8,7.5,27.405,,957,
,17,9,extra_leaves,,,,,,,,,,
Carignane,17,10,,19_April_2015,10,13.1,0.35,9,6,,,,
Carignane,17,10,,20_April_2015,,,,,,26.794,,827,
Carignane,17,10,,22_April_2015,,,,,5.5,,,,
Carignane,17,10,,23_April_2015,6,12.3,0.132,8.7,6.4,28.135,,945,
Cinsault,18,1,14,17_April_2015,5,9.4,0.122,9.1,5.9,,,515,
Cinsault,18,2,,,,,,,,,,,
Counoise,18,3,15,17_April_2015,6,15,0.325,7.8,2,,,626,
Counoise,18,4,,,,,,,,,,,
Durif,18,5,16,17_April_2015,7,15.7,0.329,9.8,2.7,,,606,
Durif,18,5,,19_April_2015,11,13.6,0.232,3.9,3.8,,,,
Durif,18,5,,20_April_2015,,,,,,19.144,,562,
Durif,18,5,,21_April_2015,5,10.7,0.154,5,4.1,21.59,,622,
Durif,18,5,,23_April_2015,,,,7,3.5,17.825,,655,
,18,5,,24_April_2015,6,15.8,0.206,,,28.736,,1041,
,18,5,extra_leaves,,,,,,,,,,
Durif,18,6,,22_April_2015,,,,,4.2,,,,
Durif,18,6,,23_April_2015,6,12.6,0.12,7,3.5,,,,
,18,6,extra_leaves,,,,,,,,,,
Marsanne,18,7,17,17_April_2015,8,12.6,0.188,4.4,5.2,,,1210,
Marsanne,18,7,,19_April_2015,12,16.4,0.311,8.5,2.9,,,,
Marsanne,18,7,,20_April_2015,,,,,,30.315,,1113,
Marsanne,18,7,,21_April_2015,5,14.5,0.248,8.3,5.8,21.711,,752,
Marsanne,18,7,,23_April_2015,,,,8,4.8,,,,
,18,7,,24_April_2015,6,13.9,0.142,,,26.216,,863,
,18,7,extra_leaves,,,,,,,,,,
Marsanne,18,8,,22_April_2015,,,,,4.95,,,,
Marsanne,18,8,,23_April_2015,6,13,0.126,7,5.9,23.938,,881,
,18,8,extra_leaves,,,,,,,,,,
Roussanne,19,7,18,17_April_2015,9,11.3,0.234,10,4.9,,,574,
Syrah,19,9,19,17_April_2015,10,9.25,0.129,9.6,5.2,,,486,
Syrah,19,9,,19_April_2015,13,11.6,0.205,8.9,6,,,,
Syrah,19,9,,20_April_2015,,,,,,15.786,,493,
Syrah,19,9,,21_April_2015,5,12.4,0.194,8.9,6,16.451,,538,
Syrah,19,9,,24_April_2015,5,10.7,0.146,9,5,17.047,,638,
,19,9,extra_leaves,,,,,,,,,,
Syrah,19,10,,22_April_2015,,,,,4.6,,,,
Syrah,19,10,,23_April_2015,6,10.1,0.148,6.9,4.3,18.2,,645,
,19,10,extra_leaves,,,,,,,,,,
Valdepenas,20,1,,21_April_2015,6,11.5,0.147,4.8,3.1,42.334,,1639,
,20,1,,20_April_2015,,,,,,,,1209,
Valdepenas,20,2,20,17_April_2015,11,16.6,0.347,5.9,4.9,,,702,
Valdepenas,20,2,,19_April_2015,14,11,0.168,5.4,3.6,,,,
Valdepenas,20,2,,22_April_2015,,,,,3.8,,,,
Valdepenas,20,2,,23_April_2015,6,12.8,0.16,6.5,3.1,33.446,,1148,
Valdepenas,20,2,,24_April_2015,6,11.2,0.158,7,4.9,26.814,,944,838
,20,2,extra_leaves,,,,,,,,,,
Voignier,20,4,21,17_April_2015,12,10.5,0.131,7,5,,,639,
Gewurtztraminer,20,5,,19_April_2015,15,13.2,0.258,4.5,4.2,,,,
Gewurtztraminer,20,5,,20_April_2015,,,,,,38.502,17.871,556,
Gewurtztraminer,20,5,,21_April_2015,6,15.7,0.331,6.6,4.5,16.904,,562,
Gewurtztraminer,20,5,,24_April_2015,4,8.6,0.0704,5.9,4.9,22.184,13.908,433,477
,20,5,extra_leaves,,,,,,,,,,
Gewurtztraminer,20,6,,22_April_2015,,,,,4.5,,,,
Gewurtztraminer,20,6,,23_April_2015,6,16.1,0.309,5.4,4.4,17.314,,572,
,20,6,extra_leaves,,,,,,,,,,
Muscat_Ottonel,20,8,22,17_April_2015,13,11.8,0.212,6,5.8,,,578,
Chasselas_doree,21,7,23,17_April_2015,14,7.28,0.0691,5.2,5.5,,,669,
Chasselas_doree,21,8,,,,,,,,,,,
Gruner_Veltiner,21,9,24,17_April_2015,15,12,0.19,5,6.4,,,608,
Gruner_Veltiner,21,10,,,,,,,,,,,
Rotgipfler,22,1,25,17_April_2015,16,4.06,0.0461,9,7.5,,,646,
Rotgipfler,22,2,,,,,,,,,,,
Furmint,22,7,,24_April_2015,6,14.2,0.186,7.8,5.8,19.855,,671,
,22,7,extra_leaves,,,,,,,,,,
Furmint,22,8,,22_April_2015,,,,,4.3,,,,
Furmint,22,8,,23_April_2015,6,18,0.337,7,3.4,28.914,,1116,999
,22,8,extra_leaves,,,,,,,,,,
Szagos_feher,23,7,26,17_April_2015,17,17.2,0.366,,,,,1863,
Szagos_feher,23,7,,24_April_2015,6,14.4,0.172,7,4.8,25.959,,970,
,23,7,extra_leaves,,,,,,,,,,
Szagos_feher,23,8,,22_April_2015,,,,,4.75,,,,
Szagos_feher,23,8,,23_April_2015,6,16.6,0.315,6.2,3.9,34.008,,1249,
,23,8,extra_leaves,,,,,,,,,,
Barbera,24,1,27,17_April_2015,0,9.87,0.116,5.1,6.5,,,1284,
Dolcetto,24,9,28,17_April_2015,1,8.54,0.103,10.9,6.8,,,362,
Dolcetto,24,9,,19_April_2015,16,9.94,0.111,9.5,6.85,,,,
Dolcetto,24,9,,20_April_2015,,,,,,18.855,,625,
Dolcetto,24,9,,21_April_2015,6,14.4,0.17,8.4,5.8,15.408,,665,
Dolcetto,24,9,,22_April_2015,,,,,6.9,,,,
Dolcetto,24,9,,24_April_2015,6,14.3,0.139,9.2,6,14.11,,502,
,24,9,extra_leaves,,,,,,,,,,
Dolcetto,24,10,,23_April_2015,6,13.3,0.154,8.8,5.4,12.906,,448,
,24,10,extra_leaves,,,,,,,,,,
Nebbiolo,25,9,29,17_April_2015,2,9.62,0.0921,10.5,6.9,,,876,
Nebbiolo,25,9,,19_April_2015,17,15,0.307,8.95,6.8,,,,
Nebbiolo,25,9,,20_April_2015,,,,,,17.425,,630,
Nebbiolo,25,9,,21_April_2015,6,15,0.206,7.3,5.4,23.022,,758,
,25,9,extra_leaves,,,,,,,,,,
Nebbiolo,25,10,,22_April_2015,6,15.8,0.235,,4.9,,,,
,25,10,,24_April_2015,6,10.8,0.105,,,15.062,,723,
,25,10,extra_leaves,,,,,,,,,,
Sangiovese,26,5,,19_April_2015,19,9.9666,0.1356,9.15,5.9,,,,
Sangiovese,26,5,,20_April_2015,,,,,,18.926,30.411,618,1367
Sangiovese,26,5,,21_April_2015,6,11.7,0.171,5.4,4.9,18.676,,628,
Sangiovese,26,5,,24_April_2015,6,16,0.157,8.3,5.9,22.025,,857,
,26,5,extra_leaves,,,,,,,,,,
Sangiovese,26,6,,22_April_2015,,,,,4.4,,,,
Sangiovese,26,6,30,17_April_2015,3.5,8.63,0.0858,4.8,5.8,,,1388,
Sangiovese,26,6,,23_April_2015,6,17.3,0.234,7.2,3.8,25.157,,905,
Coda_di_Volpe,27,1,31,18_April_2015,18,,,9.3,4.5,,,792,
Coda_di_Volpe,27,2,,,,,,,,,,,
Refosco,28,7,32,18_April_2015,17,,,10,5.9,,,604,
Refosco,28,8,,,,,,,,,,,
Schiopettino,29,3,33,18_April_2015,16,15.3,0.288,10.1,4.2,,,826,
Schiopettino,29,4,,,,,,,,,,,
Tocai_Friulano,29,7,34,18_April_2015,15,9.38,0.176,10.9,5,,,490,
Tocai_Friulano,29,8,,,,,,,,,,,
Zinfandel_Primitivo,32,3,35,18_April_2015,14,7.84,0.118,9.9,6.9,,,567,
Zinfandel_Primitivo,32,4,,,,,,,,,,,
Rkatsiteli,32,5,36,18_April_2015,13,9.82,0.116,10,3.5,,,711,
Rkatsiteli,32,6,,,,,,,,,,,
Pinotage,32,7,37,18_April_2015,12,13.6,0.264,11,4.4,,,698,
Pinotage,32,8,,,,,,,,,,,
Macabeo,34,1,38,18_April_2015,11,10.2,0.122,11.2,9,,,974,
Macabeo,34,2,,,,,,,,,,,
Morrastel,34,5,39,18_April_2015,10,11.1,0.255,10.3,4.8,,,597,
Morrastel,34,5,,21_April_2015,6,14.2,0.258,4.4,3.3,31.695,,1061,
Morrastel,34,5,,24_April_2015,6,15.3,0.182,6,3.9,31.911,,1269,
,34,5,extra_leaves,,,,,,,,,,
Morrastel,34,6,,22_April_2015,,,,,5.3,,,,
Morrastel,34,6,,23_April_2015,6,20.8,0.379,6.2,3.5,19.429,,619,
,34,6,extra_leaves,,,,,,,,,,
Palomino,34,7,40,18_April_2015,9.5,8.3,0.102,10.2,5.2,,,796,
Palomino,34,7,,21_April_2015,5,16.8,0.358,5.8,4.3,29.502,,1095,
Palomino,34,7,,24_April_2015,6,12.3,0.119,7.5,4.5,31.351,,1053,
,34,7,extra_leaves,,,,,,,,,,
Palomino,34,8,,22_April_2015,,,,,4.1,,,,
Palomino,34,8,,23_April_2015,6,14.6,0.216,6,3.9,29.803,,1003,
,34,8,extra_leaves,,,,,,,,,,
Tempranillo,35,3,41,18_April_2015,7,10.7,0.16,9.5,5.8,,,1932,
Tempranillo,35,4,,,,,,,,,,,
Verdelho,38,7,42,18_April_2015,5,12,0.346,10.1,5,,,520,
Verdelho,38,8,,,,,,,,,,,
Calzin,39,3,43,18_April_2015,4,14.6,0.227,10.9,5,,,789,
Calzin,39,3,,21_April_2015,6,14.2,0.221,7.6,4.7,29.276,,954,
Calzin,39,3,,24_April_2015,6,15.9,0.219,8.5,5.5,29.884,27.751,1098,1173
,39,3,extra_leaves,,,,,,,,,,
Calzin,39,4,,22_April_2015,,,,,5.8,,,,
Calzin,39,4,,23_April_2015,6,18.7,0.326,9.4,6.4,28.881,,1026,
,39,4,extra_leaves,,,,,,,,,,
Carnelian,39,7,44,18_April_2015,3,14.8,0.377,11.5,3.5,,,484,
Carnelian,39,8,,,,,,,,,,,
Ruby_Cabernet,40,9,45,18_April_2015,2,7.7,0.116,11.4,6.8,,,796,
Ruby_Cabernet,40,9,,24_April_2015,,,,8.2,5.5,25.106,,857,
Ruby_Cabernet,40,9,,21_April_2015,6,11,0.15,8,4.95,19.633,,592,
Ruby_Cabernet,40,10,,22_April_2015,,,,,6.1,,,,
Ruby_Cabernet,40,10,,23_April_2015,6,11.2,0.0866,7,4.2,28.423,,876,
Ruby_Cabernet,40,10,,24_April_2015,6,12.4,0.107,,,,,,
,40,10,extra_leaves,,,,,,,,,,
Early_Muscat,42,7,46,18_April_2015,1,12.4,0.241,10,6.9,,,664,
Early_Muscat,42,7,,21_April_2015,6,15,0.213,5.8,4.5,20.127,,656,
Early_Muscat,42,7,,24_April_2015,5,7.92,0.0409,9.6,6.1,23.542,,828,
,42,7,extra_leaves,,,,,,,,,,
Early_Muscat,42,8,,22_April_2015,,,,,6.1,,,,
Early_Muscat,42,8,,23_April_2015,6,13.1,0.132,8.4,5.2,19.254,,669,
,42,8,extra_leaves,,,,,,,,,,
July_Muscat,43,3,47,18_April_2015,0,13.4,0.347,5,4.7,,,1098,
July_Muscat,43,4,,,,,,,,,,,
Ruby_Seedless,44,1,,21_April_2015,6,13.1,0.226,4.1,2.4,38.275,,1264,
Ruby_Seedless,44,1,,22_April_2015,,,,,2.9,,,,
Ruby_Seedless,44,1,,24_April_2015,6,15.4,0.196,7.2,3.1,28.734,37.319,996,1462
,44,1,extra_leaves,,,,,,,,,,
Ruby_Seedless,44,2,,23_April_2015,6,17.2,0.276,4.8,3.6,34.64,,1139,
,44,2,extra_leaves,,,,,,,,,,
,,,extra_leaves,24_April_2015,,,,,,,,,
,,,missing_leaf_piece,,,,,,,,,437,
,,,stray_leaf,23_April_2015,,,,,,,,882,
,,,other_stray,,,,,,,,,635,
