"month","day","row_plant","variety","Photo","Cond","wue"
4,24,"14.1","Cabernet_sauvignon",13.2,0.124,106.451612903226
4,24,"14.1","Cabernet_sauvignon",13.4,0.125,107.2
4,24,"14.1","Cabernet_sauvignon",13.4,0.125,107.2
4,24,"13.9","Cabernet_franc",13.1,0.113,115.929203539823
4,24,"13.9","Cabernet_franc",13.1,0.118,111.016949152542
4,24,"13.9","Cabernet_franc",13.6,0.119,114.285714285714
4,24,"13.9","Cabernet_franc",13.2,0.119,110.924369747899
4,24,"13.9","Cabernet_franc",13,0.119,109.243697478992
4,24,"13.9","Cabernet_franc",13,0.118,110.169491525424
4,24,"13.8","Pinot_noir",18.2,0.22,82.7272727272727
4,24,"13.8","Pinot_noir",18.2,0.226,80.5309734513274
4,24,"13.8","Pinot_noir",18.2,0.23,79.1304347826087
4,24,"13.1","Pinot_blanc",13.2,0.149,88.5906040268456
4,24,"13.1","Pinot_blanc",13.2,0.154,85.7142857142857
4,24,"13.1","Pinot_blanc",13.2,0.156,84.6153846153846
4,24,"13.1","Pinot_blanc",13.4,0.159,84.2767295597484
4,24,"12.5","Chardonnay",12.5,0.109,114.678899082569
4,24,"12.5","Chardonnay",12.3,0.11,111.818181818182
4,24,"12.5","Chardonnay",12.3,0.109,112.844036697248
4,24,"12.5","Chardonnay",12.1,0.108,112.037037037037
4,24,"12.5","Chardonnay",12,0.105,114.285714285714
4,24,"12.3","Auxerrois",11.5,0.0776,148.19587628866
4,24,"12.3","Auxerrois",11.7,0.0819,142.857142857143
4,24,"12.3","Auxerrois",11.6,0.0837,138.590203106332
4,24,"12.3","Auxerrois",11.4,0.0841,135.552913198573
4,24,"12.3","Auxerrois",11.3,0.0841,134.36385255648
4,24,"12.3","Auxerrois",7.44,0.0907,82.0286659316428
4,24,"12.3","Auxerrois",11.5,0.0844,136.255924170616
4,24,"12.3","Auxerrois",11.3,0.0832,135.817307692308
4,24,"12.3","Auxerrois",11.3,0.0833,135.654261704682
4,24,"12.3","Auxerrois",11.1,0.0909,122.112211221122
4,24,"12.3","Auxerrois",11.1,0.0893,124.300111982083
4,24,"12.3","Auxerrois",11,0.088,125
4,23,"44.2","Ruby_Seedless",17,0.25,68
4,23,"44.2","Ruby_Seedless",17.5,0.263,66.5399239543726
4,23,"44.2","Ruby_Seedless",17.2,0.271,63.4686346863469
4,23,"44.2","Ruby_Seedless",17.2,0.276,62.3188405797101
4,23,"44.2","Ruby_Seedless",17.2,0.282,60.9929078014184
4,23,"42.8","Early_Muscat",12.9,0.129,100
4,23,"42.8","Early_Muscat",13,0.131,99.236641221374
4,23,"42.8","Early_Muscat",12.8,0.132,96.969696969697
4,23,"42.8","Early_Muscat",13.1,0.132,99.2424242424242
4,23,"42.8","Early_Muscat",12.7,0.131,96.9465648854962
4,23,"42.8","Early_Muscat",12.6,0.131,96.1832061068702
4,23,"42.8","Early_Muscat",12.7,0.131,96.9465648854962
4,23,"40.10","Ruby_Cabernet",11,0.0748,147.058823529412
4,23,"40.10","Ruby_Cabernet",11,0.0816,134.803921568627
4,23,"40.10","Ruby_Cabernet",11.1,0.0854,129.976580796253
4,23,"40.10","Ruby_Cabernet",11.2,0.0886,126.410835214447
4,23,"40.10","Ruby_Cabernet",11,0.09,122.222222222222
4,23,"40.10","Ruby_Cabernet",11.2,0.109,102.752293577982
4,23,"40.10","Ruby_Cabernet",11.3,0.108,104.62962962963
4,23,"39.4","Calzin",18.6,0.285,65.2631578947368
4,23,"39.4","Calzin",18.7,0.304,61.5131578947368
4,23,"39.4","Calzin",18.8,0.314,59.8726114649682
4,23,"39.4","Calzin",18.7,0.326,57.361963190184
4,23,"39.4","Calzin",18.9,0.333,56.7567567567568
4,23,"39.4","Calzin",18.8,0.337,55.786350148368
4,23,"34.8","Palomino",14.3,0.19,75.2631578947368
4,23,"34.8","Palomino",14.5,0.202,71.7821782178218
4,23,"34.8","Palomino",14.3,0.209,68.421052631579
4,23,"34.8","Palomino",14.6,0.216,67.5925925925926
4,23,"34.8","Palomino",14.7,0.218,67.4311926605505
4,23,"34.6","Morrastel",20.6,0.337,61.1275964391691
4,23,"34.6","Morrastel",20.6,0.355,58.0281690140845
4,23,"34.6","Morrastel",20.7,0.368,56.25
4,23,"34.6","Morrastel",20.8,0.379,54.8812664907652
4,23,"34.6","Morrastel",20.9,0.386,54.1450777202072
4,23,"34.6","Morrastel",20.4,0.365,55.8904109589041
4,23,"34.6","Morrastel",20.8,0.369,56.3685636856369
4,23,"34.6","Morrastel",20.9,0.374,55.8823529411765
4,23,"26.6","Sangiovese",17.4,0.215,80.9302325581395
4,23,"26.6","Sangiovese",17.4,0.225,77.3333333333333
4,23,"26.6","Sangiovese",17.3,0.23,75.2173913043478
4,23,"26.6","Sangiovese",17.3,0.234,73.9316239316239
4,23,"26.6","Sangiovese",17.5,0.236,74.1525423728814
4,23,"26.6","Sangiovese",17.6,0.239,73.6401673640167
4,23,"12.4","Auxerrois",16.1,0.192,83.8541666666667
4,23,"12.4","Auxerrois",16.3,0.203,80.295566502463
4,23,"12.4","Auxerrois",16.4,0.21,78.0952380952381
4,23,"12.4","Auxerrois",16.4,0.215,76.2790697674419
4,23,"12.4","Auxerrois",16.5,0.218,75.6880733944954
4,23,"12.4","Auxerrois",16.7,0.222,75.2252252252252
4,23,"12.4","Auxerrois",16.9,0.224,75.4464285714286
4,23,"12.4","Auxerrois",16.7,0.226,73.8938053097345
4,23,"12.6","Chardonnay",15.5,0.166,93.3734939759036
4,23,"12.6","Chardonnay",15.6,0.175,89.1428571428572
4,23,"12.6","Chardonnay",15.5,0.181,85.6353591160221
4,23,"12.6","Chardonnay",15.5,0.184,84.2391304347826
4,23,"12.6","Chardonnay",15.5,0.185,83.7837837837838
4,23,"12.6","Chardonnay",15.6,0.187,83.4224598930481
4,23,"12.6","Chardonnay",15.6,0.19,82.1052631578947
4,23,"12.6","Chardonnay",15.5,0.19,81.5789473684211
4,23,"12.6","Chardonnay",15.5,0.189,82.010582010582
4,23,"12.6","Chardonnay",15.6,0.178,87.6404494382023
4,23,"12.6","Chardonnay",15.2,0.181,83.9779005524862
4,23,"12.6","Chardonnay",15.2,0.18,84.4444444444444
4,23,"13.1","Pinot_blanc",15.4,0.176,87.5
4,23,"13.1","Pinot_blanc",15.3,0.186,82.258064516129
4,23,"13.1","Pinot_blanc",15.3,0.193,79.2746113989637
4,23,"13.1","Pinot_blanc",15.3,0.198,77.2727272727273
4,23,"13.1","Pinot_blanc",15.5,0.201,77.1144278606965
4,23,"13.1","Pinot_blanc",15.5,0.201,77.1144278606965
4,23,"13.4","Pinot_gris",19.7,0.266,74.0601503759398
4,23,"13.4","Pinot_gris",19.6,0.279,70.2508960573477
4,23,"13.4","Pinot_gris",19.6,0.288,68.0555555555556
4,23,"13.4","Pinot_gris",19.7,0.297,66.3299663299663
4,23,"13.4","Pinot_gris",19.5,0.302,64.5695364238411
4,23,"13.8","Pinot_noir",16.2,0.21,77.1428571428571
4,23,"13.8","Pinot_noir",16.8,0.224,75
4,23,"13.8","Pinot_noir",16.9,0.234,72.2222222222222
4,23,"13.8","Pinot_noir",17.4,0.242,71.900826446281
4,23,"13.8","Pinot_noir",17.4,0.248,70.1612903225806
4,23,"13.8","Pinot_noir",17.6,0.252,69.8412698412698
4,23,"13.8","Pinot_noir",17.9,0.256,69.921875
4,23,"13.8","Pinot_noir",17.8,0.258,68.9922480620155
4,23,"13.8","Pinot_noir",17.8,0.262,67.9389312977099
4,23,"13.8","Pinot_noir",18.4,0.251,73.3067729083665
4,23,"13.8","Pinot_noir",18.2,0.254,71.6535433070866
4,23,"13.8","Pinot_noir",18.2,0.256,71.09375
