"","Group.1","Group.1","year","month","day","row_plant","variety","Obs","Photo","Cond","Ci","Trmmol","WUEintstant","WUEintegrate"
"46","Pinot_gris",NA,2015,6,17.3333333333333,NA,NA,6.66666666666667,13.7333333333333,0.190555555333333,249.666666666667,3.36,4.098633088,72.7950988033333
"47","Pinot_meunier",NA,2015,6,16.75,NA,NA,8.5,17.341666665,0.30766666675,264,3.95750000025,4.765849256,60.997841355
"48","Pinot_noir",NA,2015,6,16.75,NA,NA,7.25,14.86583333325,0.2265,254.416666675,3.2025,4.9540686875,69.2128672225
"49","Ruby_Seedless",NA,2015,6,16.75,NA,NA,7.25,15.825,0.2635,264.500000025,3.7633333335,4.51919875575,61.977344355
"50","Sangiovese",NA,2015,6,16.75,NA,NA,8,17.1083333325,0.29558333325,266.583333325,3.83666666675,4.64807966175,59.56149373
"51","Sauvignon_blanc",NA,2015,6,16.75,NA,NA,6.75,15.05,0.21766666675,251.58333335,3.4025,5.00140177025,70.995041735
"52","Syrah",NA,2015,6,17,NA,NA,6,11.82,0.253666666666667,285.222222233333,3.27444444466667,4.17700706366667,53.2262156533333
"53","Szagos_feher",NA,2015,6,16.75,NA,NA,8,14.7166666675,0.25558333325,272.5,3.63666666675,4.308686929,58.2461678425
"54","UngniBlanc_Trebbiano",NA,2015,6,16.75,NA,NA,5.75,13.583333335,0.17583333325,242,2.95166666675,5.1539327625,78.3417146375
"55","Valdepenas",NA,2015,6,16.75,NA,NA,9.5,13.491666665,0.2170833335,253.83333335,3.0158333335,4.9553843455,71.361693415
"56","Verdelho",NA,2015,6,16.75,NA,NA,7.75,15.2833333325,0.2550833335,267.166666675,3.57,4.4096779635,61.0943699775
"57","Zinfandel_Primitivo",NA,2015,6,16.75,NA,NA,8.5,13.258333335,0.18341666675,250.83333335,2.9958333335,4.67512809625,72.9958979375
"58","Auxerrois",NA,2015,8,5.5,12.35,NA,10.5,18.4666666675,0.36375,277.66666665,3.63666666675,5.57053790825,52.3938119375
"59","Barbera",NA,2015,8,5.5,24.15,NA,10.75,12.4291666675,0.2078833335,237.08333335,2.6391666665,4.90434968125,81.973333095
"60","Cabernet_franc",NA,2015,8,5,13.6333333333333,NA,9.66666666666667,16.8666666666667,0.296777778,264.111111133333,3.23444444466667,6.08801412166667,62.2813493266667
"61","Cabernet_sauvignon",NA,2015,8,5.5,14.1,NA,8.75,13.5508333315,0.22947500025,249.249999975,2.72125,5.57571908475,74.9410859425
"62","Carignane",NA,2015,8,5.5,17.5,NA,11.25,11.33250000175,0.20585,274.833333325,2.379,4.5693716535,60.8369431225
"63","Carmenere",NA,2015,8,5.5,14.35,NA,9.25,18.63333333,0.34641666675,271.25,3.9591666665,4.9998123415,55.7906492725
"64","Chardonnay",NA,2015,8,5.5,12.55,NA,9.25,15.516666665,0.30366666675,275.41666665,3.3525,5.2397347455,56.43671155
"65","Dolcetto",NA,2015,8,5.5,24.5,NA,10,19.7416666675,0.3953333335,279.083333325,3.98833333325,4.9722572535,49.890059835
"66","Durif",NA,2015,8,5.5,18.55,NA,10.25,13.3249999975,0.27266666675,291.083333325,3.35416666675,4.09148862475,48.8807205575
"67","Early_Muscat",NA,2015,8,5.5,42.75,NA,12,12.1166666675,0.222,283.666666675,2.96,4.11431973075,54.4787756025
"68","Furmint",NA,2015,8,5.5,22.75,NA,8.5,18.0583333325,0.3426666665,277.250000025,3.75166666675,4.8833856195,52.8536610825
"69","Gamay_noir",NA,2015,8,5.5,12.75,NA,11.75,14.135,0.2523,266.083333325,2.6,5.92546620375,63.91314069
"70","Gewurtztraminer",NA,2015,8,5.5,20.55,NA,10.75,16.9500000025,0.4215,293.83333335,3.93749999975,4.36892039,43.7645929375
"71","Marsanne",NA,2015,8,5.5,18.75,NA,10.5,15.175,0.25066666675,264.16666665,2.9966666665,5.326650683,63.7813038475
"72","Merlot",NA,2015,8,5.5,15.35,NA,12.25,14.466666665,0.23916666675,261.5,2.99750000025,5.27484242425,66.102160505
"73","Morrastel",NA,2015,8,5.5,34.55,NA,10.25,15.358333335,0.21691666675,251.5,2.865,5.40207036375,71.22463095
"74","Nebbiolo",NA,2015,8,5.5,25.5,NA,11.25,13.3666666675,0.2488333335,281.833333325,2.93416666675,4.6395367525,54.7576485
"75","Palomino",NA,2015,8,5.5,34.75,NA,11.25,14.7583333325,0.2361666665,265.000000025,3.0183333335,4.9176323015,63.3230819225
"76","Pinot_blanc",NA,2015,8,7,13.1,NA,13,7.3,0.0905,248,1.61,4.53478178,80.69045732
"77","Pinot_gris",NA,2015,8,5.5,13.35,NA,10.25,17.941666665,0.3809166665,282.83333335,3.85749999975,4.77934383675,49.0804141325
"78","Pinot_meunier",NA,2015,8,5.5,13.55,NA,10.25,18.2083333325,0.3601666665,276.333333325,3.56583333325,6.167753979,53.52234701
"79","Pinot_noir",NA,2015,8,5.5,13.8,NA,10.25,15.6333333325,0.3401666665,287.666666675,3.4341666665,4.95921599725,48.809155185
"80","Ruby_Seedless",NA,2015,8,5.4,44.14,NA,8.4,20.926666668,0.4864,275.79999998,4.508,4.839785618,50.743521422
"81","Sangiovese",NA,2015,8,5.5,26.55,NA,9.5,16.4000000025,0.36283333325,292.249999975,3.86083333325,4.31186941425,45.065813465
"82","Sauvignon_blanc",NA,2015,8,5.5,16.15,NA,11.75,19.5749999975,0.3969166665,276.916666675,4.109166667,4.9724374215,51.2644077925
"83","Syrah",NA,2015,8,5.5,19.5,NA,11.5,15.07499999925,0.25455,222.5083333325,2.93,5.21903311675,89.1332297725
"84","Szagos_feher",NA,2015,8,5.5,23.75,NA,12.25,18.6583333325,0.39466666675,284.083333325,4.00999999975,4.68010697325,47.912430755
"85","UngniBlanc_Trebbiano",NA,2015,8,5.5,17.2,NA,10.75,16.8249999975,0.22683333325,242.41666665,2.885,6.1166528015,75.71398998
"86","Valdepenas",NA,2015,8,5.5,20.2,NA,11.75,17.733333335,0.385666667,285.666666675,3.83666666675,4.77052721225,47.9902392325
"87","Verdelho",NA,2015,8,5.5,38.75,NA,9,17.383333335,0.36075,280.5,3.84999999975,4.60300615475,51.33915604
"88","Zinfandel_Primitivo",NA,2015,8,5.5,32.35,NA,11.75,14.6583333325,0.29991666675,282,3.3175,4.57960979175,53.0718551
